order_id,firstname,lastname,email,product,quantity,price,city,state,pincode,order_date,payment_method,status
1001,Sita,Reddy,sita.reddy@email.com,Camera,2,1500,Chennai,WB,500001,15-01-2025,Credit Card,Cancelled
1002,Sita,Nair,NA,Mouse,1,2000,Bangalore,DL,600001,12-01-2025,COD,Cancelled
1003,Kiran,Mehta,kiran.mehta@email.com,Keyboard,1,55000,Delhi,TS,500001,19-01-2025,COD,Cancelled
1004,Kiran,Singh,kiran.singh@email.com,Camera,2,2000,Kolkata,MH,380001,18-01-2025,COD,Pending
1005,Rahul,Nair,rahul.nair@email.com,Keyboard,2,20800,Ahmedabad,GJ,380001,18-01-2025,Net Banking,Cancelled
1006,Pooja,Verma,pooja.verma@email.com,Mobile,1,30000,Mumbai,TN,110001,16-01-2025,Net Banking,Pending
1007,Rahul,Das,rahul.das@email.com,Charger,1,1500,Mumbai,TN,400001,18-01-2025,COD,Returned
1008,Sneha,Verma,sneha.verma@email.com,Laptop,1,20800,Hyderabad,MH,380001,20-01-2025,UPI,Pending
1009,Anil,Das,anil.das@email.com,Charger,1,30000,Kolkata,WB,560001,11-01-2025,COD,Returned
1010,Sita,Nair,sita.nair@email.com,Headphones,1,2000,Mumbai,TN,560001,14-01-2025,Net Banking,Delivered
1011,Vikas,Patel,vikas.patel@email.com,Tablet,2,2000,Kolkata,GJ,380001,13-01-2025,COD,Delivered
1012,Priya,Kumar,priya.kumar@email.com,Headphones,2,30000,Mumbai,MH,500001,16-01-2025,Net Banking,Returned
1013,Sita,Singh,sita.singh@email.com,Mouse,1,30000,Delhi,GJ,600001,14-01-2025,COD,Delivered
1014,Priya,Reddy,priya.reddy@email.com,Camera,1,20800,Delhi,TN,110001,18-01-2025,COD,Returned
1015,Sneha,Verma,sneha.verma@email.com,Mouse,2,30000,Chennai,TS,110001,10-01-2025,COD,Returned
1016,Amit,Sharma,amit.sharma@email.com,Keyboard,3,55000,Bangalore,MH,400001,17-01-2025,Credit Card,Delivered
1017,Kiran,Sharma,kiran.sharma@email.com,Keyboard,3,1500,Chennai,WB,560001,10-01-2025,UPI,Pending
1018,Rahul,Verma,rahul.verma@email.com,Charger,3,55000,Bangalore,MH,110001,20-01-2025,UPI,Returned
1019,Pooja,Sharma,pooja.sharma@email.com,Headphones,1,2000,Bangalore,WB,380001,17-01-2025,Net Banking,Delivered
1020,Anil,Singh,anil.singh@email.com,Laptop,3,1500,Delhi,KA,560001,11-01-2025,Net Banking,Returned
1021,Rahul,Kumar,rahul.kumar@email.com,Mobile,3,2000,Hyderabad,GJ,380001,17-01-2025,Credit Card,Delivered
1022,Amit,Verma,amit.verma@email.com,Keyboard,2,30000,Mumbai,GJ,110001,13-01-2025,UPI,Pending
1023,Sneha,Verma,NA,Tablet,1,30000,Chennai,KA,400001,15-01-2025,UPI,Pending
